CID,TID,Track Duration (min),Track Length (µm),Meandering Index,Euclidean Distance (µm),Mean Speed (µm/min),Track Present at Start or End?,Track Never Divides/Breaks?,Start Time: Total Time,End Time: Total Time,Track Duration: Total Time
9.0,1.0,1219.0,527.543,0.6072002008404876,320.3242155519934,0.43276702214930274,True,False,0.0,0.20075757575757575,0.20075757575757575
9.0,2.0,2024.0,1114.189,0.4478468709583506,498.9860573062137,0.5504886363636364,False,False,0.20454545454545456,0.5378787878787878,0.3333333333333333
9.0,3.0,1334.0,838.307,0.5238365034469095,439.13580769506837,0.6284160419790105,False,False,0.20454545454545456,0.42424242424242425,0.2196969696969697
9.0,4.0,1541.0,829.826,0.4627137194822183,383.9718749830513,0.5384983776768333,False,False,0.42803030303030304,0.6818181818181818,0.2537878787878788
9.0,5.0,3473.0,1456.22,0.28405436698119935,413.6456502853621,0.41929743737402825,True,False,0.42803030303030304,1.0,0.571969696969697
9.0,6.0,1886.0,964.192,0.2263387671037505,218.2340285312994,0.511236479321315,False,False,0.6856060606060606,0.9962121212121212,0.3106060606060606
9.0,7.0,1909.0,493.424,0.7467148036582555,368.447005280271,0.25847249869041383,True,False,0.6856060606060606,1.0,0.3143939393939394
10.0,1.0,1357.0,477.113,0.27564212620747397,131.51244176122654,0.35159395725865883,True,False,0.0,0.22348484848484848,0.22348484848484848
10.0,2.0,598.0,333.869,0.6784743451349742,226.52155113586872,0.558309364548495,False,False,0.22727272727272727,0.32575757575757575,0.09848484848484848
10.0,3.0,1886.0,708.876,0.17559224154065037,124.47312581437006,0.37586214209968183,False,False,0.22727272727272727,0.5378787878787878,0.3106060606060606
10.0,4.0,1058.0,351.872,0.3531386655312512,124.25960851781242,0.33258223062381853,False,False,0.5416666666666666,0.7159090909090909,0.17424242424242425
10.0,5.0,2714.0,1128.75,0.40473933563085596,456.8495250933287,0.4158990420044215,False,False,0.5416666666666666,0.9886363636363636,0.44696969696969696
10.0,6.0,46.0,15.923,0.9881808725974459,15.734804034369132,0.3461521739130435,True,False,0.9924242424242424,1.0,0.007575757575757576
10.0,7.0,46.0,37.654,0.9984974793460492,37.59742408729614,0.8185652173913044,True,False,0.9924242424242424,1.0,0.007575757575757576
